Allow RapLink Feed,Availability,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Clarity,Color,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,Cut Grade,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,Polish,RapNet Discount %,RapNet Price,Shape,Size,State,Star Length,Stock #,Symmetry,Table %,Trade Show,BGM,Full List Price,Second Site
Y,,,,1182697567,1182697567.pdf,SI1,Fancy,Clouds; pinpoints; patches of color and surface gr  Fancy Dark Brown-Greenish Yellow; Natural Eve K.T.S:Crystal; Etch Channel; Feather; Needle; Natu,ISRAEL,0.0,0.0,VSM,,60.3,https://segoma.com/v.aspx?type=view&id=RB8ERTMMCQ,Y,,,        ,,,,NON,0.00,Faceted,VTK,MED,GIA,9.68 x  7.61 x  4.59,,,,    , 0.0,VG,     ,3000,OV, 2.53,,  0,AZ299-14,F,52,HK-March2019,,0,
Y,,,,2185966877,2185966877.pdf,I2,,Fancy Brownish Yellow; Natural Even K.T.S:Feather; Cavity; Indented Natural; Extra Fac,ISRAEL,0.0,0.0,NON,,38.0,https://segoma.com/v.aspx?type=view&id=BCX6LXKCIX,Y,,,YELLOW  ,FANCY,BROWNISH,,NON,0.00,Faceted,THK,THN,GIA,10.15 x  7.96 x  3.03,,,,    , 0.0,G,     ,2000,ROSE, 2.00,,  0,AZ299-18A,G,62,HK-March2019,,0,
Y,,,,2131554883,2131554883.pdf,SI2,,Fancy Yellow,ISRAEL,0.0,0.0,Very Small,,63.3,https://segoma.com/v.aspx?type=view&id=P4T2XIE2M2,Y,,,YELLOW  ,FANCY,,,FAINT,0.00,,Extremely Thick,Very Thick,GIA,8.59 x  6.68 x  4.23,,,,    , 0.0,VG,     ,4500,OV, 2.01,,  0,AZ299-33,G,61,HK-March2019,,0,
Y,,,,5191284722,5191284722.pdf,VS2,,Fancy Intense Yellow; Natural Even K.T.S:Feather; Cloud; Needle; Extra Facet,ISRAEL,0.0,0.0,NON,,68.2,https://segoma.com/v.aspx?type=view&id=QV258FYXJ2,Y,,,YELLOW  ,INTENSE,,,NON,0.00,,ETK,ETN,GIA,8.18 x  7.26 x  4.95,,,,    , 0.0,EX,     ,8300,RAD, 2.75,,  0,AZ299-46,G,65,HK-March2019,,0,
Y,,,,1305447691,1305447691.pdf,VS2,,Fancy Intense Yellow; Natural Even K.T.S:Feather; Indented Natural; Natural; Extra Fa,ISRAEL,0.0,0.0,NON,,68.2,,Y,,,YELLOW  ,INTENSE,,,NON,0.00,,VTK,THK,GIA,7.55 x  6.35 x  4.33,,AZ299-57,,    , 0.0,EX,     ,8500,RAD, 2.01,,  0,AZ299-56,G,63,,,0,
Y,,,,6302964700,6302964700.pdf,VS2,,Additional clouds are not shown. Pinpoints are not  Fancy Intense Yellow; Natural Even K.T.S:Crystal; Cloud; Needle; Natural; Extra Facet,ISRAEL,0.0,0.0,NON,,69.0,,Y,,,Yellow  ,Fancy Intense,,,NON,0.00,,ETK,THK,GIA,7.57 x  6.27 x  4.33,,AZ299-56,,    , 0.0,EX,     ,8500,RAD, 2.04,,  0,AZ299-57,VG,62,,,0,
Y,,,,5182915460,5182915460.pdf,SI1,,Clouds; pinpoints; internal graining and surface g  Fancy Deep Brownish Greenish Yellow; Natural K.T.S:Crystal; Cavity; Feather; Needle; Indented N,ISRAEL,0.0,0.0,NON,,67.8,,Y,,,YELLOW  ,DEEP,BROWNISH,,NON,0.00,Faceted,,ETK,GIA,6.82 x  6.78 x  4.60,WeChat ID - GuyZamir,AZ299-85,,    , 0.0,EX,     ,3300,CUSH, 2.01,,  0,AZ299-66,VG,58,HK-March2019,,0,
Y,,,,2195408693,2195408693.pdf,VS2,,Additional clouds are not shown.  Fancy Intense Yellow; Natural Even K.T.S:Crystal; Feather; Needle; Cloud; Indented Na,ISRAEL,0.0,0.0,NON,,65.3,https://segoma.com/v.aspx?type=view&id=OFL2A1HGJ0,Y,,,YELLOW  ,INTENSE,,,NON,0.00,Faceted,ETK,THK,GIA,7.14 x  7.14 x  4.67,,,,    , 0.0,EX,     ,7100,CUSH, 2.09,,  0,AZ299-78,G,67,HK-March2019,,0,
Y,,,,6183915437,6183915437.pdf,SI1,,Clouds are not shown. Pinpoints are not shown.  Fancy Deep Brownish Greenish Yellow; Natural K.T.S:Crystal; Feather; Indented Natural; Needle;,ISRAEL,0.0,0.0,NON,,67.3,,Y,,,YELLOW  ,DEEP,GREENISH,,NON,0.00,Faceted,,ETK,GIA,6.78 x  6.66 x  4.48,WeChat ID - GuyZamir,AZ299-66,,    , 0.0,EX,     ,3300,CUSH, 2.01,,  0,AZ299-85,G,57,HK-March2019,,0,
Y,,,,2121799084,2121799084.pdf,VVS2,D,K.T.S:Pinpoint,ISRAEL,36.0,15.0,NON,VG,62.3,https://segoma.com/v.php?type=inner&id=QWXX046TDD,Y,,,        ,,,,NON,0.00,Faceted,STK,MED,GIA,9.22 x  9.17 x  5.73,,,,41.4,44.0,EX,-0.48,25480,RBC, 3.01,, 50,AZ301-4,G,59,,,0,
Y,,,,2247792050,2247792050.pdf,VS2,D,Internal graining is not shown.   K.T.S:Feather; Etch Channel; Cavity; Indented Natu,ISRAEL,0.0,0.0,NON,,60.7,https://segoma.com/v.aspx?type=view&id=BJPZU5P4AS,Y,,,        ,,,,NON,0.00,Faceted,THK,THN,GIA,13.99 x  7.86 x  4.77,,,,    , 0.0,EX,-0.43,14250,MQ, 3.00,,  0,AZ303-15,G,56,HK-March2019,,0,
Y,,,,1126957377,1126957377.pdf,VS1,E,K.T.S:Indented Natural; Cloud; Pinpoint; Natural;,ISRAEL,35.0,15.0,NON,VG,62.6,https://segoma.com/v.php?type=inner&id=DBJTR9C922,Y,,,        ,,,,NON,0.00,Faceted,THK,VTN,GIA,9.21 x  9.11 x  5.74,,,,40.8,43.0,VG,-0.48,18720,RBC, 3.01,, 50,AZ312-9,G,58,,,0,
