Stock #,Shape,Size,Color,Clarity,Cut Grade,Polish,Symmetry,Cash Price,Cash Discount %,Certificate #,Certificate Filename,Cert Comment,Country,Crown Angle,Crown Height,Culet Size,,Depth %,Diamond Image,Display Cert Number,Eye Clean,Sarine Name,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Fluorescence Color,Fluorescence Intensity,Girdle %,Girdle Condition,Girdle Thick,Girdle Thin,Lab,Measurements,Member Comments,Pair Stock #,Parcel Stones,Pavilion Angle,Pavilion Depth,RapNet Discount %,RapNet Price,Shape,State,Star Length,Table %,Trade Show,BGM,Full List Price,Second Site,,,,,,
,-0.33,1943,F,VVS2,15.5,40.8,50,,,2294053224,2294053224.pdf,K.T.S:Cloud, Feather, Pinpoint,ISRAEL,36.5,,VSM,G,61.1,,Y,,,        ,,,,NON,0,Faceted,MED,THN,GIA,4.86 x  4.83 x  2.96,,,,43,VG,-0.33,RBC,0.42,AZ021-46,F,59,,,0,,,,,
55,1464,RBC,E,VS2,SML,42.5,AZ023-78,,,7296054202,7296054202.pdf,K.T.S:Crystal, Indented Natural,ISRAEL,36,15.5,,F,65.3,,Y,,,        ,,,,FNT,0,Faceted,ETK,THK,GIA,4.14 x  4.10 x  2.69,,,,40.8,VG,-0.39,1464,0.3,,G,57,,,0,,,,,,
,-0.15,4505,G,VVS1,15.5,42,45,,,2161064416,2161064416.pdf,K.T.S:Feather, Chip, Indented Natural,ISRAEL,34.5,,NON,VG,63.5,https://segoma.com/v.aspx?type=view&id=B7MGH36KUI,Y,,,        ,,,,NON,0,Faceted,MED,THN,GIA,5.98 x  5.95 x  3.79,,,,44.5,VG,-0.15,RBC,0.81,AZ030-21,VG,55,,,0,,,,,
0.42,G,-0.35,G,VVS2,38,,,,,6295053761,6295053761.pdf,K.T.S:Needle, Pinpoint, Feather, Indented Natural,ISRAEL,,15,NON,G,63,,Y,,,        ,,,Blue,MED,0,Faceted,STK,THN,GIA,4.75 x  4.70 x  2.98,,,41.2,43.5,G,1820,RBC,55,AZ031-26,G,61,,,0,,,,
AZ032-18,BG,0.5,G,VS1,,EX,EX,,,7288802150,7288802150.pdf,K.T.S:Feather,ISRAEL,0,0,NON,,63.9,,Y,,,        ,,,,NON,0,,STK,MED,GIA,6.97 x  3.31 x  2.11,,AZ043-54,,    ,0,     ,2500,BG,,0,73,HK-March2019,,0,,,,,,,
55,1608,RBC,F,VS1,NON,42.5,AZ032-56,,,2296058425,2296058425.pdf,K.T.S:Feather, Knot,ISRAEL,30.5,12.5,,G,58.3,,Y,,,        ,,,,FNT,0,Faceted,VTK,MED,GIA,4.73 x  4.67 x  2.74,,,,40.2,VG,-0.33,1608,0.37,,G,59,,,0,,,,,,
0,1080,RAD,G,VS1,,0,AZ032-87,,,3404164729,,,ISRAEL,0,0,,,75.4,,Y,,,        ,,,,NONE,0,Polished,,MED,,EGL Israel,4.23 x  4.75 x  3.19,,,,    ,EX,-0.6,1080,0.5,,EX,79,,,0,,,,,,
AZ032-89,RBC,0.41,G,VS1,G,VG,F,,,2298057614,2298057614.pdf,K.T.S:Crystal,ISRAEL,37.5,15.5,NON,,64.6,,Y,,,        ,,,,FNT,0,Faceted,VTK,THN,GIA,4.67 x  4.60 x  2.99,,,,41.6,44,-0.38,1674,RBC,,50,60,,,0,,,,,,,
AZ033-45,BG,1.42,D,SI3,,,,,,,,,ISRAEL,0,0,,,0,,Y,,,        ,,,,,0,,,,,,,,,    ,0,     ,2100,BG,,0,  ,HK-March2019,,0,,,,,,,
50,1474,RBC,G,VS2,NON,44.5,AZ033-87,,,1299053373,1299053373.pdf,K.T.S:Crystal, Feather,ISRAEL,37.5,16,,G,65.4,,Y,,,        ,,,Blue,MED,0,Faceted,THK,THN,GIA,4.45 x  4.38 x  2.89,,,,42,G,-0.33,1474,0.35,,G,58,,,0,,,,,,
AZ034-16,RAD,0.45,F,SI2,,VG,F,,,3195163129,3195163129.pdf,,ISRAEL,0,0,NON,,71.4,https://segoma.com/v.php?type=inner&id=0Z7QSJ9HYY,Y,,,        ,,,,NON,0,,VTK,ETN,GIA,4.78 x  4.09 x  2.92,,,,    ,0,-0.4,960,RAD,,0,82,,,0,,,,,,,
